Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,BatteryLevel,N Pkt,Yaw [degree] (V),Pitch [degree] (AP),Roll [degree] (ML),Force [N],Timestamp,ID Crutch,
,-0.151000977,0.114868164,-0.975952148,0.001098633,0.549316406,-0.427246094,100,990,280,53.10439,140.24608,65,9900,257
,-0.147216797,0.115844727,-0.975463867,0.001098633,0.732421875,-1.281738281,100,991,280,53.024498,140.39922,65,9910,257
,-0.14453125,0.110595703,-0.973999023,0.001342773,0.854492188,-2.014160156,100,992,280,52.948387,140.56218,65,9920,257
,-0.144775391,0.090454102,-0.977172852,0.001464844,0.9765625,-2.197265625,100,993,280,52.873466,140.73035,65,9930,257
,-0.146728516,0.08203125,-0.980957031,0.001586914,0.915527344,-1.953125,100,994,281,52.798252,140.89748,65,9940,257
,-0.145996094,0.079589844,-0.98059082,0.001586914,0.793457031,-1.586914063,100,995,281,52.721916,141.06012,65,9950,257
,-0.144775391,0.073730469,-0.979492188,0.001708984,0.793457031,-1.46484375,100,996,281,52.645008,141.22237,65,9960,257
,-0.14465332,0.065551758,-0.980834961,0.001831055,0.793457031,-1.159667969,100,997,281,52.56665,141.38281,65,9970,257
,-0.146606445,0.06262207,-0.983032227,0.001831055,0.671386719,-0.061035156,100,998,281,52.48435,141.53526,66,9980,257
,-0.150268555,0.071411133,-0.982421875,0.001831055,0.48828125,0.48828125,100,999,281,52.397026,141.67513,66,9990,257
,-0.150634766,0.084594727,-0.979248047,0.001708984,0.48828125,0.427246094,100,1000,281,52.309303,141.81189,66,10000,257
,-0.149536133,0.095703125,-0.9765625,0.001708984,0.549316406,-0.305175781,100,1001,281,52.22445,141.95415,67,10010,257
,-0.145996094,0.102416992,-0.975708008,0.001708984,0.732421875,-1.220703125,100,1002,282,52.14297,142.10547,67,10020,257
,-0.147827148,0.095092773,-0.973754883,0.001464844,0.854492188,-2.258300781,100,1003,282,52.06678,142.26671,67,10030,257
,-0.143798828,0.075195313,-0.978149414,0.001342773,0.9765625,-2.868652344,100,1004,282,51.99506,142.43782,67,10040,257
,-0.14465332,0.055541992,-0.984741211,0.001464844,0.915527344,-2.197265625,100,1005,282,51.92122,142.60487,67,10050,257
,-0.147827148,0.053588867,-0.988525391,0.001464844,0.610351563,-0.48828125,100,1006,282,51.839485,142.7521,67,10060,257
,-0.143188477,0.066040039,-0.984008789,0.001831055,0.427246094,0.9765625,100,1007,282,51.750477,142.88356,67,10070,257
,-0.139648438,0.081298828,-0.978881836,0.001708984,0.48828125,0.427246094,100,1008,282,51.659332,143.01228,67,10080,257
,-0.138671875,0.092773438,-0.978149414,0.001586914,0.48828125,-0.427246094,100,1009,282,51.573883,143.15013,67,10090,257
,-0.139892578,0.09387207,-0.977905273,0.001342773,0.671386719,-1.159667969,100,1010,283,51.491173,143.29488,67,10100,257
,-0.144775391,0.095092773,-0.975830078,0.001220703,0.671386719,-1.953125,100,1011,283,51.4132,143.44666,68,10110,257
,-0.148681641,0.090332031,-0.977294922,0.001098633,0.671386719,-2.685546875,100,1012,283,51.339508,143.60474,68,10120,257
,-0.143188477,0.068725586,-0.976318359,0.001098633,0.854492188,-2.685546875,100,1013,283,51.26601,143.76761,69,10130,257
,-0.144287109,0.047241211,-0.985351563,0.001342773,0.854492188,-1.525878906,100,1014,283,51.18733,143.92297,68,10140,257
,-0.150756836,0.050292969,-0.989746094,0.001708984,0.610351563,0.305175781,100,1015,283,51.09971,144.05934,68,10150,257
,-0.146972656,0.066772461,-0.984375,0.001831055,0.244140625,1.708984375,100,1016,283,51.006508,144.17868,68,10160,257
,-0.140380859,0.084106445,-0.979370117,0.001831055,0.305175781,1.281738281,100,1017,283,50.911964,144.2966,67,10170,257
,-0.139892578,0.095825195,-0.978637695,0.001586914,0.366210938,0.183105469,100,1018,283,50.82221,144.42227,67,10180,257
,-0.142211914,0.100708008,-0.98034668,0.001342773,0.366210938,-0.915527344,100,1019,284,50.73841,144.55652,67,10190,257
,-0.144165039,0.100952148,-0.977416992,0.001220703,0.549316406,-1.953125,100,1020,284,50.65901,144.70131,67,10200,257
,-0.137939453,0.079833984,-0.975097656,0.001098633,0.671386719,-2.563476563,100,1021,284,50.5826,144.85336,67,10210,257
,-0.13684082,0.056152344,-0.978637695,0.001220703,0.9765625,-2.258300781,100,1022,284,50.504456,145.01012,69,10220,257
,-0.153442383,0.045043945,-0.987304688,0.001464844,0.732421875,-0.9765625,100,1023,284,50.42259,145.1559,70,10230,257
,-0.159790039,0.05480957,-0.986083984,0.001464844,0.305175781,0.793457031,100,1024,284,50.334694,145.28293,69,10240,257
